id,Booking_status,Probability
42100,0,0.069265515
42101,0,0.038137015
42102,0,0.28823134
42103,0,0.21363512
42104,1,0.52854735
42105,1,0.5083936
42106,1,0.6096586
42107,1,0.7270801
42108,0,3.560059e-08
42109,1,0.5344544
42110,1,0.70547926
42111,0,0.3092787
42112,0,0.4262855
42113,0,0.16684632
42114,0,0.3042998
42115,1,0.84510034
42116,0,0.051969536
42117,0,0.3150982
42118,1,0.8833293
42119,1,0.8643207
42120,1,0.8999284
42121,0,0.16931182
42122,0,0.009558037
42123,1,0.5502991
42124,1,0.8106078
42125,0,0.0045069684
42126,0,3.675424e-33
42127,0,0.009594842
42128,0,0.4818945
42129,1,0.8040895
42130,1,0.88649976
42131,0,0.44107214
42132,0,0.31278998
42133,1,0.96722174
42134,0,0.4103507
42135,0,4.5210625e-15
42136,0,0.03966329
42137,1,0.5144897
42138,1,0.6037943
42139,1,0.8542228
42140,0,0.016482515
42141,0,0.30642095
42142,1,0.76256657
42143,1,0.8981932
42144,0,0.10886099
42145,1,0.8472287
42146,0,0.06948279
42147,1,0.917877
42148,1,0.6598465
42149,0,0.41600353
42150,0,0.34459203
42151,1,0.75613165
42152,1,0.80606025
42153,0,0.1514877
42154,1,0.55310583
42155,0,0.41815507
42156,0,0.4173697
42157,0,0.03419925
42158,0,0.304685
42159,1,0.8308897
42160,1,0.71298486
42161,0,1.1238989e-06
42162,0,0.051854476
42163,0,0.04001376
42164,1,0.7454588
42165,0,0.38338542
42166,1,0.811499
42167,0,2.7171874e-08
42168,1,0.7336711
42169,0,0.49417782
42170,0,0.018969528
42171,0,0.09984508
42172,0,0.37889183
42173,1,0.8598618
42174,0,0.14879844
42175,0,0.3028341
42176,1,0.90201765
42177,0,0.189976
42178,0,0.04048019
42179,1,0.86886996
42180,1,0.72468287
42181,0,0.4626453
42182,1,0.7040158
42183,1,0.5222039
42184,0,0.08890228
42185,0,0.19947511
42186,0,0.21297714
42187,0,0.35871533
42188,0,0.031138033
42189,0,0.17104946
42190,0,0.35557464
42191,0,0.42347428
42192,0,0.28310004
42193,0,0.32480863
42194,0,0.35827756
42195,1,0.9059253
42196,1,0.8710849
42197,1,0.5074724
42198,1,0.6450937
42199,1,0.51438755
42200,1,0.5685894
42201,1,0.71734786
42202,1,0.5259781
42203,0,0.3121847
42204,1,0.76154417
42205,0,0.23892933
42206,0,0.014840103
42207,1,0.7832837
42208,0,0.04737191
42209,0,0.3927032
42210,0,0.2958496
42211,0,0.29329452
42212,0,0.33463246
42213,1,0.8403008
42214,1,0.82028675
42215,0,0.46885824
42216,1,0.5922844
42217,0,0.1818641
42218,0,0.035028417
42219,0,0.13916734
42220,1,0.5040206
42221,1,0.7070669
42222,0,0.49148113
42223,0,0.16430958
42224,1,0.8987175
42225,1,0.7682609
42226,1,0.884541
42227,0,0.06682224
42228,0,0.49823374
42229,0,0.099145256
42230,0,0.3215278
42231,1,0.7272926
42232,1,0.9066444
42233,0,0.12879004
42234,1,0.8960784
42235,0,0.17503744
42236,0,0.054050196
42237,1,0.7733387
42238,0,0.2711224
42239,0,0.2348224
42240,1,0.9221512
42241,1,0.5706723
42242,0,0.13153408
42243,1,0.9263559
42244,0,0.3122921
42245,1,0.67649525
42246,1,0.9068172
42247,1,0.7997494
42248,0,0.4680786
42249,1,0.8887037
42250,0,0.49586916
42251,0,0.2475696
42252,1,0.81027657
42253,1,0.76913863
42254,0,0.094539866
42255,0,0.12536566
42256,1,0.6425249
42257,1,0.6979913
42258,0,0.32684246
42259,1,0.7124557
42260,1,0.7569491
42261,1,0.7171676
42262,1,0.85246384
42263,1,0.9400527
42264,0,0.08695235
42265,1,0.8020224
42266,0,0.026599014
42267,0,0.24845172
42268,1,0.80815995
42269,0,0.088647574
42270,1,0.852051
42271,1,0.7791554
42272,0,0.085731834
42273,0,0.13710184
42274,1,0.87660164
42275,0,0.27768296
42276,0,0.15852587
42277,0,0.08736118
42278,0,0.04198245
42279,0,0.28432313
42280,0,0.33437905
42281,0,0.0018404899
42282,1,0.5172986
42283,0,0.09728722
42284,0,0.4261304
42285,0,0.043304212
42286,0,0.12936841
42287,1,0.76485646
42288,0,0.38038498
42289,1,0.6883365
42290,0,0.04619836
42291,1,0.9029491
42292,0,0.098571084
42293,1,0.79046005
42294,1,0.976182
42295,0,0.21026959
42296,0,0.04485383
42297,0,0.23707986
42298,0,0.09049364
42299,1,0.8257888
42300,0,0.2932949
42301,0,0.4767054
42302,0,0.2882724
42303,0,0.31362674
42304,0,0.14489274
42305,0,0.3062348
42306,0,0.22028337
42307,0,0.072211385
42308,0,0.2884738
42309,0,0.14378162
42310,0,0.43348676
42311,1,0.6663581
42312,0,0.086108595
42313,1,0.9063755
42314,1,0.5949242
42315,0,0.23302609
42316,1,0.6361407
42317,0,0.14183292
42318,0,0.4416204
42319,0,0.015719984
42320,0,0.31282336
42321,0,0.4952551
42322,1,0.8062675
42323,0,0.03985795
42324,1,0.7067962
42325,0,0.048751693
42326,1,0.6379143
42327,0,0.038235817
42328,0,0.113174014
42329,0,0.048097707
42330,1,0.8039477
42331,0,0.43988428
42332,0,0.49218792
42333,1,0.7420763
42334,0,0.03502456
42335,1,0.77033406
42336,0,0.10505871
42337,1,0.7537462
42338,0,0.31907785
42339,0,0.012203591
42340,0,0.09582867
42341,1,0.64727247
42342,1,0.83995515
42343,0,0.42831132
42344,0,0.3809241
42345,0,0.026859863
42346,1,0.9821386
42347,1,0.7837797
42348,1,0.7389187
42349,0,0.04738398
42350,0,0.41632292
42351,0,0.060322892
42352,1,0.7402197
42353,1,0.76462674
42354,0,0.084451586
42355,0,0.19967252
42356,1,0.5554484
42357,0,0.00010347344
42358,1,0.85005325
42359,0,0.118088275
42360,1,0.7993979
42361,0,0.20482592
42362,1,0.7501251
42363,0,0.21442565
42364,0,0.2089011
42365,0,0.19038735
42366,0,0.25466257
42367,1,0.71039945
42368,0,0.38410416
42369,1,0.8092069
42370,0,0.44590417
42371,0,0.06821444
42372,1,0.5201884
42373,1,0.9040902
42374,0,0.40068352
42375,0,0.32476225
42376,0,0.04713855
42377,1,0.9115255
42378,1,0.6437599
42379,0,0.17176162
42380,0,0.026169473
42381,0,0.4937725
42382,1,0.680136
42383,1,0.93601924
42384,0,0.3018562
42385,0,0.009991383
42386,1,0.8702257
42387,1,0.71795756
42388,0,0.064549305
42389,0,0.01904038
42390,1,0.8609016
42391,0,0.24103089
42392,0,0.049951103
42393,0,0.18143108
42394,0,0.43032542
42395,1,0.57722664
42396,0,0.05234444
42397,1,0.93008685
42398,0,0.10641065
42399,1,0.83931243
42400,1,0.55407315
42401,0,0.34141472
42402,1,0.62255985
42403,0,0.37535623
42404,0,0.36170366
42405,0,0.2989151
42406,1,0.51874447
42407,0,0.12577519
42408,0,0.2119791
42409,0,0.43605486
42410,1,0.5708556
42411,0,4.853595e-11
42412,1,0.8404395
42413,1,0.6639903
42414,1,0.7092912
42415,0,0.17260562
42416,1,0.8443124
42417,0,0.20415822
42418,0,0.45529497
42419,0,0.2806871
42420,0,0.16793057
42421,0,0.042566977
42422,0,0.48567325
42423,1,0.71211797
42424,1,0.7978909
42425,0,0.34928998
42426,0,0.47514406
42427,0,0.063427314
42428,0,0.3016994
42429,1,0.97331715
42430,0,0.4398422
42431,1,0.7186801
42432,1,0.9174778
42433,0,0.24646902
42434,0,1.4604577e-05
42435,0,0.07241281
42436,1,0.5214542
42437,0,0.21587875
42438,0,0.33181846
42439,1,0.9608685
42440,0,0.22469763
42441,1,0.9257294
42442,0,0.17681022
42443,0,0.273242
42444,0,0.06432785
42445,0,0.06812864
42446,1,0.9357274
42447,0,0.15446089
42448,0,0.04661243
42449,0,0.14305389
42450,0,0.24873029
42451,0,0.18533084
42452,0,0.026083454
42453,0,0.123905785
42454,0,0.15976655
42455,0,0.31058002
42456,0,0.3178112
42457,0,0.04516682
42458,0,0.4428997
42459,0,0.28203484
42460,1,0.6867231
42461,0,0.13149905
42462,1,0.6534073
42463,0,0.26172915
42464,1,0.669176
42465,0,0.14701942
42466,1,0.75106084
42467,0,0.33217275
42468,0,0.3016856
42469,0,0.06417467
42470,0,0.18604599
42471,1,0.5552289
42472,0,0.42459378
42473,0,0.06823933
42474,1,0.5178089
42475,0,0.07634275
42476,0,0.00037360346
42477,0,0.41217524
42478,1,0.86830014
42479,1,0.75247395
42480,0,0.007031547
42481,0,0.2493153
42482,0,0.07061226
42483,0,0.448541
42484,0,0.1863927
42485,0,0.0012346227
42486,1,0.77779835
42487,1,0.5017126
42488,0,0.002349003
42489,0,0.19763325
42490,0,0.06964018
42491,1,0.7818348
42492,0,0.49687257
42493,0,0.2293394
42494,0,0.3514778
42495,0,0.43135533
42496,0,0.48620456
42497,0,0.018602846
42498,0,0.06630307
42499,0,0.07148208
42500,0,0.15510008
42501,0,0.48304427
42502,1,0.534095
42503,1,0.9211947
42504,0,0.042794146
42505,0,1.6950748e-08
42506,1,0.51122665
42507,0,0.012399272
42508,0,0.2519721
42509,0,0.303007
42510,1,0.60579216
42511,0,0.45760322
42512,0,0.3169734
42513,0,0.008445695
42514,0,0.038972136
42515,1,0.65249026
42516,1,0.61918414
42517,1,0.5252592
42518,1,0.6083912
42519,0,0.3612842
42520,1,0.6279634
42521,0,0.016952483
42522,0,0.24188356
42523,0,0.40880206
42524,1,0.53147125
42525,1,0.7638578
42526,1,0.82943934
42527,1,0.5247582
42528,1,0.6139143
42529,0,0.09612145
42530,1,0.69433755
42531,1,0.89289004
42532,0,0.19605877
42533,0,0.46854284
42534,0,0.12688877
42535,1,0.9053595
42536,0,0.121461645
42537,0,0.09992743
42538,1,0.6721354
42539,0,0.31077746
42540,0,0.28031674
42541,0,0.22592612
42542,0,0.14202712
42543,1,0.5024745
42544,0,0.033171125
42545,1,0.8583304
42546,0,0.032001313
42547,0,0.3684544
42548,1,0.5618967
42549,0,0.3014151
42550,1,0.5678788
42551,1,0.898443
42552,1,0.68191123
42553,0,0.0074274023
42554,0,0.21103105
42555,0,0.348311
42556,0,0.27650255
42557,1,0.57255685
42558,0,0.33545005
42559,0,0.09623395
42560,0,0.27858418
42561,1,0.6796425
42562,1,0.8622828
42563,1,0.75318813
42564,0,0.4782972
42565,1,0.5273028
42566,1,0.9604536
42567,0,0.15977737
42568,0,0.01857067
42569,0,0.17528118
42570,0,0.4627733
42571,0,1.9539204e-05
42572,1,0.5419597
42573,0,0.33871117
42574,1,0.571305
42575,1,0.64932716
42576,0,0.25869408
42577,0,0.1562907
42578,0,0.023288362
42579,0,0.03685911
42580,0,1.1740199e-17
42581,1,0.90227926
42582,0,0.07006302
42583,0,0.0491118
42584,0,0.030903496
42585,0,0.13436572
42586,0,0.000105836916
42587,1,0.7555312
42588,1,0.5201884
42589,1,0.6714715
42590,1,0.8806508
42591,0,0.15637045
42592,0,0.1841005
42593,0,0.42614833
42594,0,0.030311817
42595,0,0.37562397
42596,0,0.39170286
42597,0,0.136346
42598,0,0.35226634
42599,0,0.35539013
42600,0,0.0011949167
42601,0,0.33722997
42602,1,0.7034235
42603,0,0.1795683
42604,1,0.88217264
42605,1,0.51026607
42606,1,0.80468327
42607,0,0.3900238
42608,0,0.20208319
42609,0,5.166119e-06
42610,1,0.6762411
42611,1,0.6952154
42612,0,0.04275015
42613,0,0.07491507
42614,0,0.01992961
42615,0,0.2997396
42616,1,0.8172632
42617,0,0.47008854
42618,1,0.6273183
42619,0,0.25872514
42620,1,0.6945948
42621,1,0.55996215
42622,0,0.4719341
42623,1,0.63889104
42624,0,0.023521015
42625,0,0.1688104
42626,1,0.82309395
42627,1,0.6835137
42628,1,0.868769
42629,1,0.74836785
42630,1,0.92733216
42631,0,0.33253628
42632,0,0.0148170525
42633,0,0.06621161
42634,0,0.32729912
42635,0,0.087227546
42636,0,0.4197684
42637,0,0.49428365
42638,0,0.025399815
42639,1,0.6567843
42640,0,0.09742715
42641,0,0.069586985
42642,0,0.2231145
42643,0,0.31852525
42644,0,0.44940603
42645,1,0.71957266
42646,1,0.7073127
42647,0,0.040643804
42648,0,0.10684243
42649,0,0.25265798
42650,0,0.45743644
42651,0,0.17744209
42652,0,0.28043935
42653,0,0.18919182
42654,0,0.2938309
42655,0,0.038520336
42656,0,0.47068846
42657,1,0.6742773
42658,0,0.09463163
42659,0,0.3594347
42660,0,0.21580753
42661,0,0.19725047
42662,1,0.84514225
42663,0,0.040954698
42664,0,0.08256733
42665,0,0.33417422
42666,1,0.5968026
42667,0,0.14676277
42668,0,0.061483804
42669,1,0.80404335
42670,1,0.896959
42671,0,0.27702722
42672,1,0.9308512
42673,0,0.2636511
42674,0,0.0037574514
42675,0,0.23240387
42676,0,0.41184056
42677,1,0.58896637
42678,0,0.10719253
42679,0,0.082054734
42680,0,0.31589746
42681,0,0.018666366
42682,1,0.7265542
42683,1,0.8901522
42684,0,0.012999753
42685,0,0.24916995
42686,0,0.12381428
42687,0,0.04119317
42688,1,0.5780709
42689,1,0.93889356
42690,0,0.2810778
42691,0,0.0064046592
42692,0,0.03823395
42693,1,0.70451766
42694,0,0.117771335
42695,0,0.3483329
42696,1,0.6107271
42697,0,0.37834406
42698,0,0.2537226
42699,1,0.60510266
42700,0,0.3560866
42701,0,0.0020381527
42702,0,0.07984305
42703,0,0.16336818
42704,0,0.24170417
42705,0,0.028518423
42706,0,0.08476745
42707,0,0.017426532
42708,0,0.036271583
42709,0,0.0003860901
42710,1,0.57328355
42711,0,0.36585978
42712,1,0.69824725
42713,0,0.020960664
42714,0,0.14417194
42715,0,0.11790923
42716,1,0.7084398
42717,0,0.037952766
42718,0,0.0429976
42719,0,0.02969622
42720,1,0.7803106
42721,1,0.8335148
42722,0,0.42528823
42723,0,0.27562097
42724,0,0.25698125
42725,0,0.0040931455
42726,0,0.11934924
42727,1,0.9289602
42728,0,0.13082643
42729,1,0.8791901
42730,0,0.45239177
42731,0,0.046293806
42732,1,0.91899705
42733,1,0.826209
42734,0,0.30012822
42735,0,0.16452742
42736,1,0.8097147
42737,0,0.42482772
42738,0,0.012628006
42739,0,0.268643
42740,0,0.32804403
42741,1,0.7775822
42742,0,0.03563266
42743,1,0.7644729
42744,1,0.86964816
42745,1,0.8006404
42746,0,0.0907019
42747,1,0.7264617
42748,1,0.8890286
42749,1,0.5750574
42750,1,0.73076844
42751,0,0.09429769
42752,0,0.054238867
42753,0,0.47375214
42754,0,0.49017122
42755,1,0.76294994
42756,0,0.22471943
42757,0,0.07866612
42758,1,0.7390818
42759,0,0.48252818
42760,0,0.36644885
42761,0,0.07069366
42762,1,0.9040804
42763,0,0.1582433
42764,1,0.86527395
42765,0,0.41303977
42766,0,0.040273797
42767,0,0.0031954178
42768,1,0.6362393
42769,0,0.16801745
42770,0,0.1562121
42771,1,0.88588864
42772,0,0.19823326
42773,0,0.49777228
42774,0,0.04057973
42775,0,0.008671755
42776,0,0.071491785
42777,0,0.21763432
42778,0,0.39764002
42779,0,0.15469505
42780,0,0.041234355
42781,1,0.54210484
42782,0,0.048725005
42783,1,0.6449608
42784,1,0.5803494
42785,0,0.44881374
42786,0,3.570181e-17
42787,1,0.61679107
42788,1,0.50484324
42789,1,0.8964929
42790,0,0.21540697
42791,0,0.16177136
42792,0,0.140438
42793,0,0.15738423
42794,0,0.22816814
42795,1,0.75618
42796,1,0.8494312
42797,0,0.04758341
42798,1,0.56754225
42799,0,0.06527427
42800,1,0.6570036
42801,1,0.735589
42802,0,0.15650211
42803,0,0.09933841
42804,0,0.092353135
42805,0,0.02144554
42806,1,0.68575025
42807,0,0.27521285
42808,0,0.0002054654
42809,0,0.17565933
42810,1,0.8880002
42811,1,0.80620754
42812,0,0.40315327
42813,1,0.81145906
42814,1,0.5124903
42815,0,0.06747799
42816,0,0.038663223
42817,1,0.6328476
42818,0,0.19697891
42819,0,0.22366108
42820,1,0.74972636
42821,0,0.018135045
42822,1,0.66603535
42823,1,0.69352984
42824,0,0.1733352
42825,0,0.011393053
